"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"19","Tamilnadu Telecommunication Limited","TNTELE","P&F | F.A","4.69%","11.15","24,966"
"18","Astron Paper & Board Mill Ltd","ASTRON","P&F | F.A","1.92%","23.85","16,890"
"17","Lotus Eye Care Hospital Limited","LOTUSEYE","P&F | F.A","2.1%","60.8","39,973"
"16","Cambridge Technology Enterprises Limited","CTE","P&F | F.A","4.97%","97.15","75,764"
"15","Hilton Metal Forging Limited","HILTON","P&F | F.A","0.73%","117.7","195,647"
"14","Delta Corp Limited","DELTACORP","P&F | F.A","1.18%","123.95","1,514,887"
"13","Kriti Industries (India) Ltd","KRITI","P&F | F.A","2.28%","141.1","72,442"
"12","Asian Hotels (east) Limited","AHLEAST","P&F | F.A","-0.3%","149.95","38,317"
"11","Gandhar Oil Refinery (India) Ltd","GANDHAR","P&F | F.A","-0.41%","220.15","203,795"
"10","D B Realty Limited","DBREALTY","P&F | F.A","4.72%","231.8","10,799,203"
"9","India Pesticides Ltd","IPL","P&F | F.A","1.26%","237.35","1,183,023"
"8","Sahyadri Industries Ltd","SAHYADRI","P&F | F.A","-0.29%","361.95","3,244"
"7","Rishabh Instruments Ltd","RISHABH","P&F | F.A","7.53%","465.75","616,821"
"6","Atul Auto Limited","ATULAUTO","P&F | F.A","-1.42%","527.8","199,409"
"5","Bharat Petroleum Corporation Limited","BPCL","P&F | F.A","1%","609.45","4,952,528"
"4","Suven Pharmaceuticals Ltd","SUVENPHAR","P&F | F.A","1.99%","659.7","122,136"
"3","Glaxosmithkline Pharmaceuticals Limited","GLAXO","P&F | F.A","3.05%","2128.65","228,118"
"2","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","-0.12%","2691","146,666"
"1","TVS Holdings Ltd","TVSHLTD","P&F | F.A","0.31%","8460.05","13,475"
